Angle(deg),BER_Bound_Eq70
9.69,3.64819382e-04
9.70,3.62669347e-04
9.71,3.60534533e-04
9.72,3.58414790e-04
9.73,3.56309976e-04
9.74,3.54219952e-04
9.75,3.52144588e-04
9.76,3.50083755e-04
9.77,3.48037328e-04
9.78,3.46005184e-04
9.79,3.43987204e-04
9.80,3.41983268e-04
9.81,3.39993261e-04
9.82,3.38017069e-04
9.83,3.36054578e-04
9.84,3.34105676e-04
9.85,3.32170255e-04
9.86,3.30248204e-04
9.87,3.28339416e-04
9.88,3.26443786e-04
9.89,3.24561206e-04
9.90,3.22691575e-04
9.91,3.20834787e-04
9.92,3.18990742e-04
9.93,3.17159337e-04
9.94,3.15340475e-04
9.95,3.13534054e-04
9.96,3.11739978e-04
9.97,3.09958148e-04
9.98,3.08188470e-04
9.99,3.06430848e-04
10.00,3.04685188e-04
10.01,3.02951396e-04
10.02,3.01229380e-04
10.03,2.99519048e-04
10.04,2.97820311e-04
10.05,2.96133079e-04
10.06,2.94457262e-04
10.07,2.92792773e-04
10.08,2.91139526e-04
10.09,2.89497435e-04
10.10,2.87866414e-04
10.11,2.86246380e-04
10.12,2.84637251e-04
10.13,2.83038943e-04
10.14,2.81451378e-04
10.15,2.79874476e-04
10.16,2.78308158e-04
10.17,2.76752349e-04
10.18,2.75206972e-04
10.19,2.73671956e-04
10.20,2.72147229e-04
10.21,2.70632722e-04
10.22,2.69128370e-04
10.23,2.67634109e-04
10.24,2.66149882e-04
10.25,2.64675636e-04
10.26,2.63211324e-04
10.27,2.61756909e-04
10.28,2.60312365e-04
10.29,2.58877684e-04
10.30,2.57452879e-04
10.31,2.56037996e-04
10.32,2.54633129e-04
10.33,2.53238445e-04
10.34,2.51854224e-04
10.35,2.50480935e-04
10.36,2.49119364e-04
10.37,2.47770871e-04
10.38,2.46437924e-04
10.39,2.45125316e-04
10.40,2.43843276e-04
10.41,2.42616814e-04
10.42,2.41521028e-04
10.43,2.40875504e-04
10.44,2.43625465e-04
10.45,6.16080134e-04
10.46,2.39258569e-04
10.47,2.35501963e-04
10.48,2.33723921e-04
10.49,2.32278479e-04
10.50,2.30939104e-04
10.51,2.29647294e-04
10.52,2.28382452e-04
10.53,2.27135798e-04
10.54,2.25903057e-04
10.55,2.24681933e-04
10.56,2.23471091e-04
10.57,2.22269701e-04
10.58,2.21077220e-04
10.59,2.19893272e-04
10.60,2.18717584e-04
10.61,2.17549952e-04
10.62,2.16390217e-04
10.63,2.15238248e-04
10.64,2.14093939e-04
10.65,2.12957198e-04
10.66,2.11827946e-04
10.67,2.10706113e-04
10.68,2.09591637e-04
